Partlist

Exported from happyboard.brd at 5/26/11 9:08 PM

EAGLE Version 5.6.0 Copyright (c) 1988-2009 CadSoft

Part     Value                  Package         Library          Position (inch)       Orientation

C1       1uF                    C0603           enut202          (1.52 2.17)           R90
C2       1uF                    C0603           enut202          (1.52 2.03)           R270
C3       1uF                    C0603           enut202          (1.52 1.65)           R90
C4       0.1uF                  C0603           enut202          (3.75 1.095)          MR0
C5       1uF                    C0603           enut202          (1.52 1.51)           R270
C6       1uF                    C0603           enut202          (1.52 1.12)           R90
C7       1uF                    C0603           enut202          (1.52 0.98)           R270
C8       0.1uF                  C0603           enut202          (1.15 1.82)           R180
C9       0.1uF                  C0603           enut202          (1.25 2.35)           R180
C10      0.1uF                  C0603           enut202          (1.15 1.3)            R180
C11      33nF                   C0603           enut202          (0.59 2.38)           R270
C12      0.1uF                  C0603           enut202          (2.81 1.28)           R0
C13      0.1uF                  C0603           enut202          (2.905 2.07)          MR0
C14      0.1uF                  C0603           enut202          (2.215 2.27)          MR90
C15      0.1uF                  C0603           enut202          (3.06 1.3)            R0
C16      10nF                   C0603           enut202          (3.84 0.775)          R90
C17      0.1uF                  C0603           enut202          (1.95 1.75)           MR90
C18      0.1uF                  C0603           enut202          (2.05 1.59)           MR180
C19      0.1uF                  C0603           enut202          (1.95 1.63)           MR270
C20      0.1uF                  C0603           enut202          (2.15 1.63)           MR270
C21      0.1uF                  C0603           enut202          (2.05 1.79)           MR0
C22      0.1uF                  C0603           enut202          (2.15 1.75)           MR270
C23      0.1uF                  C0603           enut202          (2.185 2.74)          R180
C24      0.1uF                  C0603           enut202          (2.26 2.955)          R90
C25      0.1uF                  C0603           enut202          (0.79 2.35)           R180
C26      2.2uF                  C1206           rng              (2.08 2.83)           R0
C27      0.1uF                  C0603           enut202          (3.14 1.33)           MR270
C30      0.1uF                  C0603           enut202          (3.36 0.99)           R90
C31      10uF                   C1206           rng              (1.995 2.58)          R180
C32      0.1uF                  C0603           enut202          (2.89 0.61)           R180
C33      0.1uF                  C0603           enut202          (1.9 0.91)            R270
C34      0.1uF                  C0603           enut202          (0.93 0.74)           MR0
C35      10nF                   C0603           enut202          (1.98 0.35)           R180
C39      18pF                   C0603           enut202          (2.71 2.335)          R0
C40      18pF                   C0603           enut202          (3 2.335)             R180
C41      10uF                   C1206           rng              (3.605 1.805)         R270
C42      0.1uF                  C0603           enut202          (0.238386 0.216142)   R270
C43      0.1uF                  C0603           enut202          (2.825 0.2)           R270
C44      220uF                  153CLV-0605     rcl              (2.49563 2.747441)    R270
C45      0.1uF                  C0603           enut202          (3.395 0.98)          MR270
C46      0.1uF                  C0603           enut202          (3.36 1.145)          R270
C47      0.1uF                  C0603           enut202          (3.59 1.145)          MR0
C48      0.1uF                  C0603           enut202          (3.4 2.34)            R180
C53      10uF                   B/3528-21R      rcl              (3.9 2.235)           R90
