Partlist

Exported from happyboard.brd at 7/25/2010 9:21:01 PM

EAGLE Version 5.6.0 Copyright (c) 1988-2009 CadSoft

Part     Value                  Package             Library         Position (mm)         Orientation

C1       1uF                    C0603               enut202         (38.608 55.118)       R90
C2       1uF                    C0603               enut202         (38.608 51.562)       R270
C3       1uF                    C0603               enut202         (38.608 41.91)        R90
C4       0.1uF                  C0603               enut202         (95.25 27.813)        MR0
C5       1uF                    C0603               enut202         (38.608 38.354)       R270
C6       1uF                    C0603               enut202         (38.608 28.448)       R90
C7       1uF                    C0603               enut202         (38.608 24.892)       R270
C8       0.1uF                  C0603               enut202         (29.21 46.228)        R180
C9       0.1uF                  C0603               enut202         (31.75 59.69)         R180
C10      0.1uF                  C0603               enut202         (29.21 33.02)         R180
C11      33nF                   C0603               enut202         (14.986 60.452)       R270
C12      0.1uF                  C0603               enut202         (71.374 32.512)       R0
C13      0.1uF                  C0603               enut202         (73.787 52.578)       MR0
C14      0.1uF                  C0603               enut202         (56.261 57.658)       MR90
C15      0.1uF                  C0603               enut202         (77.724 33.02)        R0
C16      10nF                   C0603               enut202         (97.536 19.685)       R90
C17      0.1uF                  C0603               enut202         (49.53 44.45)         MR90
C18      0.1uF                  C0603               enut202         (52.07 40.386)        MR180
C19      0.1uF                  C0603               enut202         (49.53 41.402)        MR270
C20      0.1uF                  C0603               enut202         (54.61 41.402)        MR270
C21      0.1uF                  C0603               enut202         (52.07 45.466)        MR0
C22      0.1uF                  C0603               enut202         (54.61 44.45)         MR270
C23      0.1uF                  C0603               enut202         (55.499 69.596)       R180
C24      0.1uF                  C0603               enut202         (57.404 75.057)       R90
C25      0.1uF                  C0603               enut202         (20.066 59.69)        R180
C26      2.2uF                  C1206               rng             (52.832 71.882)       R0
C27      0.1uF                  C0603               enut202         (79.756 33.782)       MR270
C30      0.1uF                  C0603               enut202         (85.344 25.146)       R90
C31      10uF                   C1206               rng             (50.673 65.532)       R180
C32      0.1uF                  C0603               enut202         (73.406 15.494)       R180
C33      0.1uF                  C0603               enut202         (48.26 23.114)        R270
C34      0.1uF                  C0603               enut202         (23.622 18.796)       MR0
C35      10nF                   C0603               enut202         (50.292 8.89)         R180
C39      18pF                   C0603               enut202         (68.834 59.309)       R0
C40      18pF                   C0603               enut202         (76.2 59.309)         R180
C41      10uF                   C1206               rng             (91.567 45.847)       R270
C42      0.1uF                  C0603               enut202         (28.575 5.08)         R270
C43      0.1uF                  C0603               enut202         (71.755 5.08)         R270
C44      220uF                  153CLV-0605         rcl             (96.901 48.895)       R90
C45      0.1uF                  C0603               enut202         (86.233 24.892)       MR270
C46      0.1uF                  C0603               enut202         (85.344 29.083)       R270
C47      0.1uF                  C0603               enut202         (91.186 29.083)       MR0
C48      0.1uF                  C0603               enut202         (86.36 59.436)        R180
C53      10uF                   B/3528-21R          rcl             (99.06 56.769)        R90
C54      0.1uF                  C0603               enut202         (20.066 46.228)       R180
C55      0.1uF                  C0603               enut202         (20.066 33.02)        R180
C56      1uF                    C0603               enut202         (97.028 61.976)       R270
C57      0.1uF                  C0603               enut202         (38.481 14.859)       MR180
C58      0.1uF                  C0603               enut202         (45.847 21.717)       R180
C59      220uF                  153CLV-0605         rcl             (28.321 77.47)        R180
C60      0.1uF                  C0603               enut202         (97.155 36.957)       R180
C61      1.5nF                  C0603               enut202         (94.742 57.404)       R0
C62      10uF                   B/3528-21R          rcl             (91.313 53.213)       R180
C63      1.5nF                  C0603               enut202         (50.927 75.057)       R270
C64      10nF                   C0603               enut202         (47.498 72.39)        R0
C65      0.22uF                 C0603               enut202         (36.703 74.549)       R90
C66      0.22uF                 C0603               enut202         (43.148 68.979)       MR180
CBYP     0.1uF                  C0603               enut202         (92.19 66.38)         R270
CCOMP    0.22uF                 C0603               enut202         (80.31 65.07)         R90
CIN      22uF                   C1210               rcl             (94.48 68.5)          R90
COUT     47uF                   C2220K              rcl             (67.11 66.68)         R90
CSENSE   10nF                   C0603               enut202         (83.31 66.38)         MR270
D1       1N4148                 SOD323              rng             (13.208 60.579)       R270
D2       1N4148                 SOD323              rng             (23.876 59.817)       R0
D3       GRN                    CHIP-LED0603        happyboard      (6.35 53.34)          R180
D4       RED                    CHIP-LED0603        happyboard      (6.35 56.134)         R180
D5       GRN                    CHIP-LED0603        happyboard      (6.35 63.246)         R0
D6       RED                    CHIP-LED0603        happyboard      (6.35 66.04)          R0
D7       GRN                    CHIP-LED0603        happyboard      (6.35 33.655)         R0
D8       RED                    CHIP-LED0603        happyboard      (6.35 36.449)         R180
D9       GRN                    CHIP-LED0603        happyboard      (6.35 43.561)         R0
D10      RED                    CHIP-LED0603        happyboard      (6.35 46.355)         R0
D11      GRN                    CHIP-LED0603        happyboard      (6.35 13.97)          R180
D12      RED                    CHIP-LED0603        happyboard      (6.35 16.764)         R180
D13      GRN                    CHIP-LED0603        happyboard      (6.35 23.876)         R0
D14      RED                    CHIP-LED0603        happyboard      (6.35 26.67)          R180
D15      GRN                    CHIP-LED0603        happyboard      (103.505 3.175)       R90
D16      RED                    CHIP-LED0603        happyboard      (97.79 3.175)         R90
D18      BAT54WS                SOD323              rng             (84.455 61.341)       R180
D19      SSB44                  SMB                 cb-diode        (40.64 66.548)        R0
D21      UPS120                 DO216               rng             (91.567 56.642)       R0
DMOT     12CWQ03FNPBF           D-PAK_TO252AA       00TshenLib      (73.78 69.5)          R180
FS1      POLYSWITCH             POLYSWITCH          rng             (102.108 67.056)      R0
H6       MOUNT-PAD-ROUND3.6     3,6-PAD             holes           (100.33 8.89)         R0
H8       MOUNT-PAD-ROUND3.6     3,6-PAD             holes           (10.16 8.89)          R0
H9       MOUNT-PAD-ROUND3.6     3,6-PAD             holes           (10.16 72.39)         R0
J1       14 Pin Female Header   FE14                happyboard      (53.34 78.105)        R0
J2       4 Pin Female Header    FE04-1              happyboard      (93.726 34.544)       R180
J4       A3C-8DA                A3C-8DA             con-hirose      (86.106 35.56)        R270
J5       6x1 Pin Female Header  FE06                happyboard      (3.81 59.69)          R90
J6       6x1 Pin Female Header  FE06                happyboard      (3.81 40.005)         R90
J7       6x1 Pin Female Header  FE06                happyboard      (3.81 20.32)          R90
J8       8x1 Pin Female Header  FE08                happyboard      (83.185 11.43)        R180
J9       8x2 Pin Female Header  FE08-2              happyboard      (83.185 5.08)         R0
J10      16x1 Pin Female Header FE16-1              happyboard      (50.165 11.43)        R180
J11      16x2 Pin Female Header FE16-2              happyboard      (50.165 5.08)         R0
